id,string,number,olddate,boolean
160,inside,94436,2010-02-22,0
161,thing,52850,1980-02-05,1
162,conference,82553,2006-02-05,0
163,situation,82913,1996-10-21,1
164,collection,46035,2013-10-04,0
165,maybe,40856,1993-10-07,0
166,prove,15550,2023-12-08,1
167,sign,13988,2017-04-29,0
168,finish,85801,2019-02-08,1
169,option,56474,2012-05-24,1
170,environmental,53943,2006-04-11,0
171,buy,86295,1975-04-11,0
172,bank,73090,1986-01-02,1
173,kitchen,55581,1999-02-22,1
174,maintain,30894,1976-10-11,0
175,himself,54078,2007-04-22,0
176,billion,55557,1979-01-03,1
177,in,25989,1999-10-30,0
178,writer,88407,2016-07-23,1
179,family,89312,1994-11-08,1
180,upon,28344,2011-12-20,0
181,source,73584,2010-08-20,1
182,pretty,50360,2019-11-24,0
183,senior,52781,2007-06-16,0
184,consumer,34786,1985-05-06,1
185,practice,26627,1997-05-13,1
186,sing,67339,2007-04-03,1
187,cost,53927,2005-09-08,0
188,interview,29327,2018-11-20,0
189,money,22634,2023-07-04,0
190,human,61440,2001-10-06,1
191,oil,53146,1977-05-22,0
192,Mr,68685,1979-08-31,1
193,street,52492,2015-05-28,0
194,maybe,39485,1996-04-13,0
195,successful,39610,2007-06-23,0
196,hot,56498,2007-10-05,1
197,good,17529,1985-11-21,0
198,word,73095,1994-08-04,1
199,always,94733,1985-07-10,0
200,believe,52243,2003-09-11,1
