id,random_animal,random_city,chemical_element,historical_figure,mathematical_formula
91,"Gregory Moon","New Michael",Hydrogen,"Brittney Ochoa",E=mc^2
92,"Diamond Villegas MD","New Robin",Nitrogen,"Chloe Washington",E=mc^2
93,"Penny Barajas","New Christophershire",Carbon,"Jenna Webb",E=mc^2
94,"Dawn Shields","North Steven",Oxygen,"Lisa Moses",E=mc^2
95,"Robert Scott",Stewartton,Hydrogen,"Mary Gutierrez",E=mc^2
96,"David Haney",Marialand,Hydrogen,"Leslie Coleman",E=mc^2
97,"Bradley Ward","East Victorstad",Hydrogen,"Angela Love",E=mc^2
98,"Ralph Hoffman DDS","West Robin",Carbon,"Christian Jones",E=mc^2
99,"Kimberly Patterson","North Davidfort",Oxygen,"Shannon Martinez",E=mc^2
100,"Jill Hernandez","West Paul",Carbon,"Wendy Walker",E=mc^2
