id,random_string,random_number,random_date,random_boolean
185,recent,239,2023-05-17,1
186,but,900,2023-06-20,0
187,big,694,2023-09-17,1
188,year,274,2022-07-25,1
189,administration,729,2021-05-12,1
190,down,701,2019-03-25,0
191,space,710,2023-02-26,0
192,item,557,2021-08-22,0
193,mother,122,2019-05-20,1
194,measure,615,2023-04-26,1
195,spring,209,2020-07-21,0
196,pick,911,2019-11-18,0
197,trade,348,2021-04-16,1
198,leg,929,2022-04-29,0
199,miss,43,2021-01-25,1
200,process,454,2022-02-24,1
